symbol,industry
TEL,"Electronic Components, Connectivity Solutions, and Engineering Products"
TDY,"Scientific & Technical Instruments, Imaging Technology, and Sensing Solutions"
TFX,"Medical Instruments & Supplies, Healthcare Products, and Specialty Devices"
TER,"Semiconductor Equipment & Materials, Testing Technology, and Automation"
TSLA,"Auto Manufacturers, Electric Vehicles, and Renewable Energy"
TXN,"Semiconductors, Analog Chips, and Embedded Processing"
TPL,"Oil & Gas E&P, Land Holdings, and Mineral Rights"
TXT,"Aerospace & Defense, Manufacturing, and Industrial Products"
TMO,"Diagnostics & Research, Laboratory Equipment, and Life Sciences"
TJX,"Apparel Retail, Discount Clothing, and Home Goods"
TSCO,"Specialty Retail, Rural Lifestyle Products, and Agriculture Supplies"
TT,"Building Products & Equipment, Climate Solutions"
